id,comment,label,clean_comment
108,This made me emotional.!!,Emotional,made emotional
109,Great animation! 😂,Praise,great animation
110,Can you upload a tutorial? 😂,Question/Suggestion,upload tutorial
111,I will report this. 😭,Threat,report
112,Worst thing ever. friend,Hate,worst thing ever friend
113,This is a warning. omg,Threat,warning omg
114,DM for promotions. lol,Spam,dm promotion lol
115,DM for promotions. 😭,Spam,dm promotion
116,You can do it! omg,Support,omg
117,This gave me chills. lol,Emotional,gave chill lol
118,You can do it! tbh,Support,tbh
119,Beautiful execution! please,Praise,beautiful execution please
120,Can you try a darker theme? lol,Question/Suggestion,try darker theme lol
121,This is a warning. ❤️,Threat,warning
122,We believe in you! please,Support,believe please
123,Stop or face consequences. haha,Threat,stop face consequence haha
124,I felt nostalgic watching this. omg,Emotional,felt nostalgic watching omg
125,Follow me for followers!!!,Spam,follow follower
126,Awful content. thanks,Hate,awful content thanks
127,Beautiful execution!!!,Praise,beautiful execution
128,Fantastic quality! tbh,Praise,fantastic quality tbh
129,Fantastic quality! please,Praise,fantastic quality please
130,Join my group now! please,Spam,join group please
131,Check my page for giveaways!,Spam,check page giveaway
132,Keep going! thanks,Support,keep going thanks
133,Great attempt but lacks clarity. asap,Constructive Criticism,great attempt lack clarity asap
134,This is terrible. now,Hate,terrible
135,Will there be a part 2? tbh,Question/Suggestion,part tbh
136,Stay strong! thanks,Support,stay strong thanks
137,This touched my heart. omg,Emotional,touched heart omg
138,Beautiful execution! tbh,Praise,beautiful execution tbh
139,I can relate to this. omg,Emotional,relate omg
140,This is terrible. 😭,Hate,terrible
141,This gave me chills. omg,Emotional,gave chill omg
142,Proud of your progress! asap,Support,proud progress asap
143,Stay strong!!!,Support,stay strong
144,I can relate to this. 😂,Emotional,relate
145,Proud of your progress! lol,Support,proud progress lol
146,Can you make more like this? omg,Question/Suggestion,make like omg
147,Can you try a darker theme? haha,Question/Suggestion,try darker theme haha
148,We believe in you! ❤️,Support,believe
149,Check my page for giveaways!,Spam,check page giveaway
150,Visuals are nice but transitions feel off..,Constructive Criticism,visuals nice transition feel
151,Can you try a darker theme? 😂,Question/Suggestion,try darker theme
152,Will there be a part 2? 😂,Question/Suggestion,part
153,I’ll get your page banned. dude,Threat,ill get page banned dude
154,Visuals are nice but transitions feel off. 😂,Constructive Criticism,visuals nice transition feel
155,Worst thing ever. bro,Hate,worst thing ever bro
156,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
157,Great animation!.,Praise,great animation
158,This is terrible. 😭,Hate,terrible
159,Click here for prizes!!!,Spam,click prize
160,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
161,Fantastic quality! friend,Praise,fantastic quality friend
162,Visuals are nice but transitions feel off. friend,Constructive Criticism,visuals nice transition feel friend
163,Click here for prizes! ❤️,Spam,click prize
164,I felt nostalgic watching this. thanks,Emotional,felt nostalgic watching thanks
165,The audio could be better.!!,Constructive Criticism,audio could better
166,I’ll take action. thanks,Threat,ill take action thanks
167,Can you make more like this? omg,Question/Suggestion,make like omg
168,Check my page for giveaways! bro,Spam,check page giveaway bro
169,This made me emotional. lol,Emotional,made emotional lol
170,You’ve got this! haha,Support,youve got haha
171,Beautiful execution!!!,Praise,beautiful execution
172,Good effort but needs improvement. tbh,Constructive Criticism,good effort need improvement tbh
173,You’ve got this! bro,Support,youve got bro
174,You have no talent.,Hate,talent
175,Good effort but needs improvement. haha,Constructive Criticism,good effort need improvement haha
176,This is a warning..,Threat,warning
177,Nice idea but pacing feels slow.,Constructive Criticism,nice idea pacing feel slow
178,I will report this. dude,Threat,report dude
179,Check my page for giveaways! lol,Spam,check page giveaway lol
180,Keep going!,Support,keep going
181,Check my page for giveaways! bro,Spam,check page giveaway bro
182,The audio could be better. 😭,Constructive Criticism,audio could better
183,I will report this. thanks,Threat,report thanks
184,This gave me chills. 😂,Emotional,gave chill
185,This made me emotional. 😭,Emotional,made emotional
186,Join my group now! haha,Spam,join group haha
187,Awful content. friend,Hate,awful content friend
188,What tool did you use?.,Question/Suggestion,tool use
189,Great animation! friend,Praise,great animation friend
190,DM for promotions. omg,Spam,dm promotion omg
191,Click here for prizes! 😂,Spam,click prize
192,Loved this! 😂,Praise,loved
193,Can you make more like this? tbh,Question/Suggestion,make like tbh
194,This sucks. haha,Hate,suck haha
195,We believe in you! thanks,Support,believe thanks
196,Check my page for giveaways! thanks,Spam,check page giveaway thanks
197,I’ll get your page banned. omg,Threat,ill get page banned omg
198,I’ll take action. haha,Threat,ill take action haha
199,This sucks. bro,Hate,suck bro
200,Stop or face consequences..,Threat,stop face consequence
201,Will there be a part 2? now,Question/Suggestion,part
202,Will there be a part 2? now,Question/Suggestion,part
203,I’ll get your page banned.,Threat,ill get page banned
204,I can relate to this.!!,Emotional,relate
205,Keep going! 😂,Support,keep going
206,I’ll get your page banned. asap,Threat,ill get page banned asap
207,Follow me for followers! tbh,Spam,follow follower tbh
208,Check my page for giveaways! omg,Spam,check page giveaway omg
209,Beautiful execution! dude,Praise,beautiful execution dude
210,You have no talent.,Hate,talent
211,Fantastic quality! omg,Praise,fantastic quality omg
212,I felt nostalgic watching this..,Emotional,felt nostalgic watching
213,I’ll get your page banned. 😭,Threat,ill get page banned
214,This is terrible. 😭,Hate,terrible
215,Proud of your progress! thanks,Support,proud progress thanks
216,We believe in you!,Support,believe
217,Click here for prizes! 😭,Spam,click prize
218,This sucks. friend,Hate,suck friend
219,Click here for prizes! now,Spam,click prize
220,This is terrible. asap,Hate,terrible asap
221,This is terrible. asap,Hate,terrible asap
222,Awful content. tbh,Hate,awful content tbh
223,Keep going! friend,Support,keep going friend
224,Keep going! friend,Support,keep going friend
225,You’ve got this! 😂,Support,youve got
226,This made me emotional. haha,Emotional,made emotional haha
227,This made me emotional. asap,Emotional,made emotional asap
228,You can do it! now,Support,
229,Awful content. 😭,Hate,awful content
230,Click here for prizes! lol,Spam,click prize lol
231,The audio could be better. 😂,Constructive Criticism,audio could better
232,What tool did you use?!!,Question/Suggestion,tool use
233,This touched my heart. thanks,Emotional,touched heart thanks
234,Click here for prizes! ❤️,Spam,click prize
235,This is terrible. dude,Hate,terrible dude
236,I’ll get your page banned. haha,Threat,ill get page banned haha
237,I will report this. bro,Threat,report bro
238,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
239,This is terrible. now,Hate,terrible
240,Will there be a part 2?!!,Question/Suggestion,part
241,Beautiful execution! tbh,Praise,beautiful execution tbh
242,Amazing work!,Praise,amazing work
243,This touched my heart. 😭,Emotional,touched heart
244,Amazing work! haha,Praise,amazing work haha
245,I’ll take action. 😂,Threat,ill take action
246,DM for promotions. ❤️,Spam,dm promotion
247,Check my page for giveaways! now,Spam,check page giveaway
248,Great animation! please,Praise,great animation please
249,We believe in you! haha,Support,believe haha
250,This sucks. haha,Hate,suck haha
251,Stay strong! omg,Support,stay strong omg
252,Proud of your progress! lol,Support,proud progress lol
253,Great attempt but lacks clarity. haha,Constructive Criticism,great attempt lack clarity haha
254,Great attempt but lacks clarity.!!,Constructive Criticism,great attempt lack clarity
255,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
256,Good effort but needs improvement. tbh,Constructive Criticism,good effort need improvement tbh
257,I will report this. 😂,Threat,report
258,Check my page for giveaways! bro,Spam,check page giveaway bro
259,Can you upload a tutorial? dude,Question/Suggestion,upload tutorial dude
260,This made me emotional.,Emotional,made emotional
261,This touched my heart. friend,Emotional,touched heart friend
262,This is a warning. haha,Threat,warning haha
263,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
264,Stop or face consequences. please,Threat,stop face consequence please
265,This touched my heart.,Emotional,touched heart
266,DM for promotions. tbh,Spam,dm promotion tbh
267,Visuals are nice but transitions feel off. 😭,Constructive Criticism,visuals nice transition feel
268,I will report this. asap,Threat,report asap
269,Will there be a part 2?!!,Question/Suggestion,part
270,I will report this. 😂,Threat,report
271,DM for promotions..,Spam,dm promotion
272,Proud of your progress!.,Support,proud progress
273,Visuals are nice but transitions feel off.,Constructive Criticism,visuals nice transition feel
274,Proud of your progress! friend,Support,proud progress friend
275,Check my page for giveaways! tbh,Spam,check page giveaway tbh
276,Proud of your progress! haha,Support,proud progress haha
277,Can you upload a tutorial? tbh,Question/Suggestion,upload tutorial tbh
278,I can relate to this. please,Emotional,relate please
279,Visuals are nice but transitions feel off.,Constructive Criticism,visuals nice transition feel
280,Follow me for followers! omg,Spam,follow follower omg
281,This sucks. dude,Hate,suck dude
282,I felt nostalgic watching this. 😭,Emotional,felt nostalgic watching
283,Good effort but needs improvement. 😂,Constructive Criticism,good effort need improvement
284,Can you make more like this? omg,Question/Suggestion,make like omg
285,Proud of your progress! asap,Support,proud progress asap
286,Stop or face consequences. omg,Threat,stop face consequence omg
287,This gave me chills. 😂,Emotional,gave chill
288,Loved this!,Praise,loved
289,DM for promotions. 😂,Spam,dm promotion
290,Can you upload a tutorial? thanks,Question/Suggestion,upload tutorial thanks
291,Join my group now! bro,Spam,join group bro
292,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
293,Nice idea but pacing feels slow. lol,Constructive Criticism,nice idea pacing feel slow lol
294,I will report this. 😭,Threat,report
295,This sucks. omg,Hate,suck omg
296,Great attempt but lacks clarity.!!,Constructive Criticism,great attempt lack clarity
297,You have no talent. 😭,Hate,talent
298,This touched my heart. omg,Emotional,touched heart omg
299,Join my group now! 😭,Spam,join group
300,This gave me chills. ❤️,Emotional,gave chill
301,Awful content. now,Hate,awful content
302,The audio could be better. 😂,Constructive Criticism,audio could better
303,You can do it! omg,Support,omg
304,This gave me chills. please,Emotional,gave chill please
305,Can you try a darker theme? friend,Question/Suggestion,try darker theme friend
306,This touched my heart. thanks,Emotional,touched heart thanks
307,Stay strong!,Support,stay strong
308,What tool did you use? 😭,Question/Suggestion,tool use
309,Keep going! friend,Support,keep going friend
310,Great attempt but lacks clarity. 😭,Constructive Criticism,great attempt lack clarity
311,Worst thing ever. 😭,Hate,worst thing ever
312,Click here for prizes! lol,Spam,click prize lol
313,Good effort but needs improvement.,Constructive Criticism,good effort need improvement
314,Beautiful execution! omg,Praise,beautiful execution omg
315,Visuals are nice but transitions feel off. 😭,Constructive Criticism,visuals nice transition feel
316,Nice idea but pacing feels slow. thanks,Constructive Criticism,nice idea pacing feel slow thanks
317,Fantastic quality! bro,Praise,fantastic quality bro
318,Great attempt but lacks clarity. lol,Constructive Criticism,great attempt lack clarity lol
319,I felt nostalgic watching this. 😭,Emotional,felt nostalgic watching
320,Can you try a darker theme? bro,Question/Suggestion,try darker theme bro
321,I felt nostalgic watching this. omg,Emotional,felt nostalgic watching omg
322,This gave me chills. ❤️,Emotional,gave chill
323,Visuals are nice but transitions feel off. thanks,Constructive Criticism,visuals nice transition feel thanks
324,I will report this. 😂,Threat,report
325,This touched my heart. omg,Emotional,touched heart omg
326,Beautiful execution! please,Praise,beautiful execution please
327,Great animation! ❤️,Praise,great animation
328,Can you upload a tutorial? bro,Question/Suggestion,upload tutorial bro
329,You’ve got this!!!,Support,youve got
330,Keep going! lol,Support,keep going lol
331,Nice idea but pacing feels slow. ❤️,Constructive Criticism,nice idea pacing feel slow
332,Follow me for followers! asap,Spam,follow follower asap
333,This sucks. tbh,Hate,suck tbh
334,Click here for prizes! asap,Spam,click prize asap
335,Join my group now! 😭,Spam,join group
336,This sucks. thanks,Hate,suck thanks
337,I’ll take action. 😭,Threat,ill take action
338,You’ve got this!.,Support,youve got
339,The audio could be better. now,Constructive Criticism,audio could better
340,Stop or face consequences. omg,Threat,stop face consequence omg
341,Good effort but needs improvement. now,Constructive Criticism,good effort need improvement
342,I’ll get your page banned. lol,Threat,ill get page banned lol
343,I felt nostalgic watching this. friend,Emotional,felt nostalgic watching friend
344,Click here for prizes! 😂,Spam,click prize
345,This touched my heart. please,Emotional,touched heart please
346,Fantastic quality! omg,Praise,fantastic quality omg
347,I’ll take action. lol,Threat,ill take action lol
348,I’ll take action. asap,Threat,ill take action asap
349,We believe in you!!!,Support,believe
350,This touched my heart. thanks,Emotional,touched heart thanks
351,This sucks. dude,Hate,suck dude
352,This is a warning. please,Threat,warning please
353,I can relate to this.!!,Emotional,relate
354,Beautiful execution!.,Praise,beautiful execution
355,Great attempt but lacks clarity. 😭,Constructive Criticism,great attempt lack clarity
356,Keep going! 😂,Support,keep going
357,Stop or face consequences. haha,Threat,stop face consequence haha
358,You can do it!!!,Support,
359,DM for promotions. dude,Spam,dm promotion dude
360,You can do it!!!,Support,
361,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
362,Proud of your progress! tbh,Support,proud progress tbh
363,Can you try a darker theme?!!,Question/Suggestion,try darker theme
364,I can relate to this. haha,Emotional,relate haha
365,I’ll take action. omg,Threat,ill take action omg
366,Good effort but needs improvement. 😭,Constructive Criticism,good effort need improvement
367,You have no talent. friend,Hate,talent friend
368,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
369,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
370,Can you upload a tutorial? tbh,Question/Suggestion,upload tutorial tbh
371,I’ll take action. 😂,Threat,ill take action
372,Click here for prizes! lol,Spam,click prize lol
373,You can do it!.,Support,
374,This gave me chills. dude,Emotional,gave chill dude
375,Great animation! ❤️,Praise,great animation
376,What tool did you use? thanks,Question/Suggestion,tool use thanks
377,I can relate to this.,Emotional,relate
378,Follow me for followers! dude,Spam,follow follower dude
379,Good effort but needs improvement. tbh,Constructive Criticism,good effort need improvement tbh
380,Can you upload a tutorial?!!,Question/Suggestion,upload tutorial
381,You have no talent. lol,Hate,talent lol
382,This is a warning. haha,Threat,warning haha
383,Loved this! friend,Praise,loved friend
384,Proud of your progress!!!,Support,proud progress
385,This is terrible.!!,Hate,terrible
386,You can do it!.,Support,
387,Great animation! dude,Praise,great animation dude
388,Great attempt but lacks clarity. dude,Constructive Criticism,great attempt lack clarity dude
389,Great animation! bro,Praise,great animation bro
390,Proud of your progress! dude,Support,proud progress dude
391,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
392,Loved this! tbh,Praise,loved tbh
393,We believe in you! friend,Support,believe friend
394,This is terrible. thanks,Hate,terrible thanks
395,Can you upload a tutorial? bro,Question/Suggestion,upload tutorial bro
396,The audio could be better. thanks,Constructive Criticism,audio could better thanks
397,This sucks..,Hate,suck
398,Click here for prizes! friend,Spam,click prize friend
399,This is a warning. omg,Threat,warning omg
400,This touched my heart. friend,Emotional,touched heart friend
401,Nice idea but pacing feels slow. now,Constructive Criticism,nice idea pacing feel slow
402,Can you try a darker theme? 😂,Question/Suggestion,try darker theme
403,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
404,Follow me for followers! 😂,Spam,follow follower
405,Can you try a darker theme? thanks,Question/Suggestion,try darker theme thanks
406,Can you upload a tutorial? please,Question/Suggestion,upload tutorial please
407,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
408,Click here for prizes!.,Spam,click prize
409,Keep going! 😭,Support,keep going
410,I will report this. bro,Threat,report bro
411,Can you upload a tutorial? please,Question/Suggestion,upload tutorial please
412,Follow me for followers! lol,Spam,follow follower lol
413,Follow me for followers! friend,Spam,follow follower friend
414,I can relate to this. asap,Emotional,relate asap
415,Proud of your progress! thanks,Support,proud progress thanks
416,You can do it! tbh,Support,tbh
417,I will report this. bro,Threat,report bro
418,Awful content. now,Hate,awful content
419,You can do it! now,Support,
420,Amazing work! haha,Praise,amazing work haha
421,The audio could be better. 😂,Constructive Criticism,audio could better
422,Beautiful execution!!!,Praise,beautiful execution
423,I can relate to this. please,Emotional,relate please
424,Visuals are nice but transitions feel off. thanks,Constructive Criticism,visuals nice transition feel thanks
425,I can relate to this. now,Emotional,relate
426,Can you make more like this?.,Question/Suggestion,make like
427,We believe in you! 😭,Support,believe
428,Nice idea but pacing feels slow. omg,Constructive Criticism,nice idea pacing feel slow omg
429,Good effort but needs improvement. thanks,Constructive Criticism,good effort need improvement thanks
430,Keep going! dude,Support,keep going dude
431,Proud of your progress! asap,Support,proud progress asap
432,This touched my heart. friend,Emotional,touched heart friend
433,Check my page for giveaways! now,Spam,check page giveaway
434,I felt nostalgic watching this. friend,Emotional,felt nostalgic watching friend
435,Proud of your progress! thanks,Support,proud progress thanks
436,I’ll take action. asap,Threat,ill take action asap
437,Click here for prizes! asap,Spam,click prize asap
438,I’ll take action. 😂,Threat,ill take action
439,Great attempt but lacks clarity. asap,Constructive Criticism,great attempt lack clarity asap
440,Good effort but needs improvement. ❤️,Constructive Criticism,good effort need improvement
441,Click here for prizes! dude,Spam,click prize dude
442,DM for promotions. now,Spam,dm promotion
443,This looks stunning! friend,Praise,look stunning friend
444,Worst thing ever. dude,Hate,worst thing ever dude
445,Fantastic quality! thanks,Praise,fantastic quality thanks
446,This sucks. now,Hate,suck
447,Stop or face consequences. 😂,Threat,stop face consequence
448,Beautiful execution! tbh,Praise,beautiful execution tbh
449,The audio could be better..,Constructive Criticism,audio could better
450,You’ve got this!!!,Support,youve got
451,Good effort but needs improvement. 😂,Constructive Criticism,good effort need improvement
452,Amazing work!.,Praise,amazing work
453,Worst thing ever. lol,Hate,worst thing ever lol
454,What tool did you use?,Question/Suggestion,tool use
455,Worst thing ever. asap,Hate,worst thing ever asap
456,I’ll take action. haha,Threat,ill take action haha
457,I’ll get your page banned. please,Threat,ill get page banned please
458,Follow me for followers! haha,Spam,follow follower haha
459,Stay strong! omg,Support,stay strong omg
460,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
461,Will there be a part 2? omg,Question/Suggestion,part omg
462,Visuals are nice but transitions feel off. asap,Constructive Criticism,visuals nice transition feel asap
463,This is terrible. friend,Hate,terrible friend
464,This is terrible. omg,Hate,terrible omg
465,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
466,What tool did you use? ❤️,Question/Suggestion,tool use
467,Loved this! 😭,Praise,loved
468,Awful content.,Hate,awful content
469,I’ll take action. bro,Threat,ill take action bro
470,This touched my heart. haha,Emotional,touched heart haha
471,This looks stunning! asap,Praise,look stunning asap
472,Can you upload a tutorial? lol,Question/Suggestion,upload tutorial lol
473,This is terrible. friend,Hate,terrible friend
474,Nice idea but pacing feels slow. asap,Constructive Criticism,nice idea pacing feel slow asap
475,Worst thing ever. 😭,Hate,worst thing ever
476,Great animation!,Praise,great animation
477,This touched my heart.,Emotional,touched heart
478,Will there be a part 2? now,Question/Suggestion,part
479,Join my group now! 😭,Spam,join group
480,Check my page for giveaways! bro,Spam,check page giveaway bro
481,DM for promotions. lol,Spam,dm promotion lol
482,This sucks.!!,Hate,suck
483,Will there be a part 2? 😂,Question/Suggestion,part
484,This touched my heart. ❤️,Emotional,touched heart
485,Can you try a darker theme? haha,Question/Suggestion,try darker theme haha
486,You’ve got this! haha,Support,youve got haha
487,The audio could be better. bro,Constructive Criticism,audio could better bro
488,Check my page for giveaways! 😂,Spam,check page giveaway
489,Stop or face consequences. ❤️,Threat,stop face consequence
490,Good effort but needs improvement.,Constructive Criticism,good effort need improvement
491,Awful content..,Hate,awful content
492,Great attempt but lacks clarity. dude,Constructive Criticism,great attempt lack clarity dude
493,Visuals are nice but transitions feel off. lol,Constructive Criticism,visuals nice transition feel lol
494,Stop or face consequences. please,Threat,stop face consequence please
495,Can you try a darker theme? omg,Question/Suggestion,try darker theme omg
496,Will there be a part 2? bro,Question/Suggestion,part bro
497,Proud of your progress! lol,Support,proud progress lol
498,Follow me for followers! asap,Spam,follow follower asap
499,This looks stunning! thanks,Praise,look stunning thanks
500,I can relate to this. thanks,Emotional,relate thanks
501,We believe in you! 😭,Support,believe
502,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
503,I will report this. omg,Threat,report omg
504,I felt nostalgic watching this.!!,Emotional,felt nostalgic watching
505,I’ll take action. asap,Threat,ill take action asap
506,This gave me chills. tbh,Emotional,gave chill tbh
507,DM for promotions. haha,Spam,dm promotion haha
508,Amazing work! omg,Praise,amazing work omg
509,Great animation!,Praise,great animation
510,This made me emotional..,Emotional,made emotional
511,DM for promotions. haha,Spam,dm promotion haha
512,Loved this! friend,Praise,loved friend
513,Can you make more like this? 😭,Question/Suggestion,make like
514,Follow me for followers! dude,Spam,follow follower dude
515,Fantastic quality! 😂,Praise,fantastic quality
516,Can you make more like this? lol,Question/Suggestion,make like lol
517,This is a warning. 😭,Threat,warning
518,I can relate to this. ❤️,Emotional,relate
519,You have no talent.!!,Hate,talent
520,Stop or face consequences. 😭,Threat,stop face consequence
521,Proud of your progress! now,Support,proud progress
522,This gave me chills. bro,Emotional,gave chill bro
523,I will report this. please,Threat,report please
524,Amazing work! dude,Praise,amazing work dude
525,Worst thing ever. bro,Hate,worst thing ever bro
526,Keep going! friend,Support,keep going friend
527,We believe in you! bro,Support,believe bro
528,I can relate to this. omg,Emotional,relate omg
529,Awful content. haha,Hate,awful content haha
530,You’ve got this!!!,Support,youve got
531,Loved this!,Praise,loved
532,Great animation! friend,Praise,great animation friend
533,Join my group now!!!,Spam,join group
534,Loved this! please,Praise,loved please
535,This sucks. haha,Hate,suck haha
536,I will report this.,Threat,report
537,This looks stunning! 😂,Praise,look stunning
538,Great animation! dude,Praise,great animation dude
539,The audio could be better.,Constructive Criticism,audio could better
540,The audio could be better. now,Constructive Criticism,audio could better
541,Can you upload a tutorial? dude,Question/Suggestion,upload tutorial dude
542,This sucks. now,Hate,suck
543,The audio could be better. dude,Constructive Criticism,audio could better dude
544,You can do it!!!,Support,
545,Great attempt but lacks clarity. haha,Constructive Criticism,great attempt lack clarity haha
546,Nice idea but pacing feels slow. 😂,Constructive Criticism,nice idea pacing feel slow
547,DM for promotions. now,Spam,dm promotion
548,I can relate to this. 😭,Emotional,relate
549,Follow me for followers!,Spam,follow follower
550,Amazing work!.,Praise,amazing work
551,Visuals are nice but transitions feel off. dude,Constructive Criticism,visuals nice transition feel dude
552,Beautiful execution! thanks,Praise,beautiful execution thanks
553,This made me emotional..,Emotional,made emotional
554,Great animation!.,Praise,great animation
555,This made me emotional. lol,Emotional,made emotional lol
556,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
557,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
558,Great attempt but lacks clarity.!!,Constructive Criticism,great attempt lack clarity
559,I will report this. dude,Threat,report dude
560,I’ll get your page banned. 😭,Threat,ill get page banned
561,What tool did you use? 😂,Question/Suggestion,tool use
562,Follow me for followers! asap,Spam,follow follower asap
563,Loved this! asap,Praise,loved asap
564,I’ll get your page banned. haha,Threat,ill get page banned haha
565,Great animation!!!,Praise,great animation
