id,comment,label
197,I’ll get your page banned. omg,Threat
198,I’ll take action. haha,Threat
199,This sucks. bro,Hate
200,Stop or face consequences..,Threat
201,Will there be a part 2? now,Question/Suggestion
202,Will there be a part 2? now,Question/Suggestion
203,I’ll get your page banned.,Threat
204,I can relate to this.!!,Emotional
205,Keep going! 😂,Support
206,I’ll get your page banned. asap,Threat
207,Follow me for followers! tbh,Spam
208,Check my page for giveaways! omg,Spam
209,Beautiful execution! dude,Praise
210,You have no talent.,Hate
211,Fantastic quality! omg,Praise
212,I felt nostalgic watching this..,Emotional
213,I’ll get your page banned. 😭,Threat
214,This is terrible. 😭,Hate
215,Proud of your progress! thanks,Support
216,We believe in you!,Support
217,Click here for prizes! 😭,Spam
218,This sucks. friend,Hate
219,Click here for prizes! now,Spam
220,This is terrible. asap,Hate
221,This is terrible. asap,Hate
222,Awful content. tbh,Hate
223,Keep going! friend,Support
224,Keep going! friend,Support
225,You’ve got this! 😂,Support
226,This made me emotional. haha,Emotional
227,This made me emotional. asap,Emotional
228,You can do it! now,Support
229,Awful content. 😭,Hate
230,Click here for prizes! lol,Spam
231,The audio could be better. 😂,Constructive Criticism
232,What tool did you use?!!,Question/Suggestion
233,This touched my heart. thanks,Emotional
234,Click here for prizes! ❤️,Spam
235,This is terrible. dude,Hate
236,I’ll get your page banned. haha,Threat
237,I will report this. bro,Threat
238,Nice idea but pacing feels slow.!!,Constructive Criticism
239,This is terrible. now,Hate
240,Will there be a part 2?!!,Question/Suggestion
241,Beautiful execution! tbh,Praise
242,Amazing work!,Praise
243,This touched my heart. 😭,Emotional
244,Amazing work! haha,Praise
245,I’ll take action. 😂,Threat
246,DM for promotions. ❤️,Spam
247,Check my page for giveaways! now,Spam
248,Great animation! please,Praise
249,We believe in you! haha,Support
250,This sucks. haha,Hate
251,Stay strong! omg,Support
252,Proud of your progress! lol,Support
253,Great attempt but lacks clarity. haha,Constructive Criticism
254,Great attempt but lacks clarity.!!,Constructive Criticism
255,Great attempt but lacks clarity. please,Constructive Criticism
256,Good effort but needs improvement. tbh,Constructive Criticism
257,I will report this. 😂,Threat
258,Check my page for giveaways! bro,Spam
259,Can you upload a tutorial? dude,Question/Suggestion
260,This made me emotional.,Emotional
261,This touched my heart. friend,Emotional
262,This is a warning. haha,Threat
263,Great attempt but lacks clarity. bro,Constructive Criticism
264,Stop or face consequences. please,Threat
265,This touched my heart.,Emotional
266,DM for promotions. tbh,Spam
267,Visuals are nice but transitions feel off. 😭,Constructive Criticism
268,I will report this. asap,Threat
269,Will there be a part 2?!!,Question/Suggestion
270,I will report this. 😂,Threat
271,DM for promotions..,Spam
272,Proud of your progress!.,Support
273,Visuals are nice but transitions feel off.,Constructive Criticism
274,Proud of your progress! friend,Support
275,Check my page for giveaways! tbh,Spam
276,Proud of your progress! haha,Support
277,Can you upload a tutorial? tbh,Question/Suggestion
278,I can relate to this. please,Emotional
279,Visuals are nice but transitions feel off.,Constructive Criticism
280,Follow me for followers! omg,Spam
281,This sucks. dude,Hate
282,I felt nostalgic watching this. 😭,Emotional
283,Good effort but needs improvement. 😂,Constructive Criticism
284,Can you make more like this? omg,Question/Suggestion
285,Proud of your progress! asap,Support
286,Stop or face consequences. omg,Threat
287,This gave me chills. 😂,Emotional
288,Loved this!,Praise
289,DM for promotions. 😂,Spam
290,Can you upload a tutorial? thanks,Question/Suggestion
291,Join my group now! bro,Spam
292,Good effort but needs improvement..,Constructive Criticism
293,Nice idea but pacing feels slow. lol,Constructive Criticism
294,I will report this. 😭,Threat
295,This sucks. omg,Hate
296,Great attempt but lacks clarity.!!,Constructive Criticism
297,You have no talent. 😭,Hate
298,This touched my heart. omg,Emotional
299,Join my group now! 😭,Spam
300,This gave me chills. ❤️,Emotional
301,Awful content. now,Hate
302,The audio could be better. 😂,Constructive Criticism
303,You can do it! omg,Support
304,This gave me chills. please,Emotional
305,Can you try a darker theme? friend,Question/Suggestion
306,This touched my heart. thanks,Emotional
307,Stay strong!,Support
308,What tool did you use? 😭,Question/Suggestion
309,Keep going! friend,Support
310,Great attempt but lacks clarity. 😭,Constructive Criticism
311,Worst thing ever. 😭,Hate
312,Click here for prizes! lol,Spam
313,Good effort but needs improvement.,Constructive Criticism
314,Beautiful execution! omg,Praise
315,Visuals are nice but transitions feel off. 😭,Constructive Criticism
316,Nice idea but pacing feels slow. thanks,Constructive Criticism
317,Fantastic quality! bro,Praise
318,Great attempt but lacks clarity. lol,Constructive Criticism
319,I felt nostalgic watching this. 😭,Emotional
320,Can you try a darker theme? bro,Question/Suggestion
321,I felt nostalgic watching this. omg,Emotional
322,This gave me chills. ❤️,Emotional
323,Visuals are nice but transitions feel off. thanks,Constructive Criticism
324,I will report this. 😂,Threat
325,This touched my heart. omg,Emotional
326,Beautiful execution! please,Praise
327,Great animation! ❤️,Praise
328,Can you upload a tutorial? bro,Question/Suggestion
329,You’ve got this!!!,Support
330,Keep going! lol,Support
331,Nice idea but pacing feels slow. ❤️,Constructive Criticism
332,Follow me for followers! asap,Spam
333,This sucks. tbh,Hate
334,Click here for prizes! asap,Spam
335,Join my group now! 😭,Spam
336,This sucks. thanks,Hate
337,I’ll take action. 😭,Threat
338,You’ve got this!.,Support
339,The audio could be better. now,Constructive Criticism
340,Stop or face consequences. omg,Threat
341,Good effort but needs improvement. now,Constructive Criticism
342,I’ll get your page banned. lol,Threat
343,I felt nostalgic watching this. friend,Emotional
344,Click here for prizes! 😂,Spam
345,This touched my heart. please,Emotional
346,Fantastic quality! omg,Praise
347,I’ll take action. lol,Threat
348,I’ll take action. asap,Threat
349,We believe in you!!!,Support
350,This touched my heart. thanks,Emotional
351,This sucks. dude,Hate
352,This is a warning. please,Threat
353,I can relate to this.!!,Emotional
354,Beautiful execution!.,Praise
355,Great attempt but lacks clarity. 😭,Constructive Criticism
356,Keep going! 😂,Support
357,Stop or face consequences. haha,Threat
358,You can do it!!!,Support
359,DM for promotions. dude,Spam
360,You can do it!!!,Support
361,Nice idea but pacing feels slow.!!,Constructive Criticism
362,Proud of your progress! tbh,Support
363,Can you try a darker theme?!!,Question/Suggestion
364,I can relate to this. haha,Emotional
365,I’ll take action. omg,Threat
366,Good effort but needs improvement. 😭,Constructive Criticism
367,You have no talent. friend,Hate
368,Nice idea but pacing feels slow. please,Constructive Criticism
369,Great attempt but lacks clarity. please,Constructive Criticism
370,Can you upload a tutorial? tbh,Question/Suggestion
371,I’ll take action. 😂,Threat
372,Click here for prizes! lol,Spam
373,You can do it!.,Support
374,This gave me chills. dude,Emotional
375,Great animation! ❤️,Praise
376,What tool did you use? thanks,Question/Suggestion
377,I can relate to this.,Emotional
378,Follow me for followers! dude,Spam
379,Good effort but needs improvement. tbh,Constructive Criticism
380,Can you upload a tutorial?!!,Question/Suggestion
381,You have no talent. lol,Hate
382,This is a warning. haha,Threat
383,Loved this! friend,Praise
384,Proud of your progress!!!,Support
385,This is terrible.!!,Hate
386,You can do it!.,Support
387,Great animation! dude,Praise
388,Great attempt but lacks clarity. dude,Constructive Criticism
389,Great animation! bro,Praise
390,Proud of your progress! dude,Support
391,Good effort but needs improvement..,Constructive Criticism
392,Loved this! tbh,Praise
393,We believe in you! friend,Support
394,This is terrible. thanks,Hate
395,Can you upload a tutorial? bro,Question/Suggestion
396,The audio could be better. thanks,Constructive Criticism
397,This sucks..,Hate
398,Click here for prizes! friend,Spam
399,This is a warning. omg,Threat
400,This touched my heart. friend,Emotional
401,Nice idea but pacing feels slow. now,Constructive Criticism
402,Can you try a darker theme? 😂,Question/Suggestion
403,I felt nostalgic watching this. now,Emotional
404,Follow me for followers! 😂,Spam
405,Can you try a darker theme? thanks,Question/Suggestion
406,Can you upload a tutorial? please,Question/Suggestion
407,Nice idea but pacing feels slow. please,Constructive Criticism
408,Click here for prizes!.,Spam
409,Keep going! 😭,Support
410,I will report this. bro,Threat
411,Can you upload a tutorial? please,Question/Suggestion
412,Follow me for followers! lol,Spam
413,Follow me for followers! friend,Spam
414,I can relate to this. asap,Emotional
415,Proud of your progress! thanks,Support
416,You can do it! tbh,Support
417,I will report this. bro,Threat
418,Awful content. now,Hate
419,You can do it! now,Support
420,Amazing work! haha,Praise
421,The audio could be better. 😂,Constructive Criticism
422,Beautiful execution!!!,Praise
423,I can relate to this. please,Emotional
424,Visuals are nice but transitions feel off. thanks,Constructive Criticism
425,I can relate to this. now,Emotional
426,Can you make more like this?.,Question/Suggestion
427,We believe in you! 😭,Support
428,Nice idea but pacing feels slow. omg,Constructive Criticism
429,Good effort but needs improvement. thanks,Constructive Criticism
430,Keep going! dude,Support
431,Proud of your progress! asap,Support
432,This touched my heart. friend,Emotional
433,Check my page for giveaways! now,Spam
434,I felt nostalgic watching this. friend,Emotional
435,Proud of your progress! thanks,Support
436,I’ll take action. asap,Threat
437,Click here for prizes! asap,Spam
438,I’ll take action. 😂,Threat
439,Great attempt but lacks clarity. asap,Constructive Criticism
440,Good effort but needs improvement. ❤️,Constructive Criticism
441,Click here for prizes! dude,Spam
442,DM for promotions. now,Spam
443,This looks stunning! friend,Praise
444,Worst thing ever. dude,Hate
445,Fantastic quality! thanks,Praise
446,This sucks. now,Hate
447,Stop or face consequences. 😂,Threat
448,Beautiful execution! tbh,Praise
449,The audio could be better..,Constructive Criticism
450,You’ve got this!!!,Support
451,Good effort but needs improvement. 😂,Constructive Criticism
452,Amazing work!.,Praise
453,Worst thing ever. lol,Hate
454,What tool did you use?,Question/Suggestion
455,Worst thing ever. asap,Hate
456,I’ll take action. haha,Threat
457,I’ll get your page banned. please,Threat
458,Follow me for followers! haha,Spam
459,Stay strong! omg,Support
460,Nice idea but pacing feels slow. please,Constructive Criticism
461,Will there be a part 2? omg,Question/Suggestion
462,Visuals are nice but transitions feel off. asap,Constructive Criticism
463,This is terrible. friend,Hate
464,This is terrible. omg,Hate
465,Good effort but needs improvement. dude,Constructive Criticism
466,What tool did you use? ❤️,Question/Suggestion
467,Loved this! 😭,Praise
468,Awful content.,Hate
469,I’ll take action. bro,Threat
470,This touched my heart. haha,Emotional
471,This looks stunning! asap,Praise
472,Can you upload a tutorial? lol,Question/Suggestion
473,This is terrible. friend,Hate
474,Nice idea but pacing feels slow. asap,Constructive Criticism
475,Worst thing ever. 😭,Hate
476,Great animation!,Praise
477,This touched my heart.,Emotional
478,Will there be a part 2? now,Question/Suggestion
479,Join my group now! 😭,Spam
480,Check my page for giveaways! bro,Spam
481,DM for promotions. lol,Spam
482,This sucks.!!,Hate
483,Will there be a part 2? 😂,Question/Suggestion
484,This touched my heart. ❤️,Emotional
485,Can you try a darker theme? haha,Question/Suggestion
486,You’ve got this! haha,Support
487,The audio could be better. bro,Constructive Criticism
488,Check my page for giveaways! 😂,Spam
489,Stop or face consequences. ❤️,Threat
490,Good effort but needs improvement.,Constructive Criticism
491,Awful content..,Hate
492,Great attempt but lacks clarity. dude,Constructive Criticism
493,Visuals are nice but transitions feel off. lol,Constructive Criticism
494,Stop or face consequences. please,Threat
495,Can you try a darker theme? omg,Question/Suggestion
496,Will there be a part 2? bro,Question/Suggestion
497,Proud of your progress! lol,Support
498,Follow me for followers! asap,Spam
499,This looks stunning! thanks,Praise
500,I can relate to this. thanks,Emotional
501,We believe in you! 😭,Support
502,Good effort but needs improvement. bro,Constructive Criticism
503,I will report this. omg,Threat
504,I felt nostalgic watching this.!!,Emotional
505,I’ll take action. asap,Threat
506,This gave me chills. tbh,Emotional
507,DM for promotions. haha,Spam
508,Amazing work! omg,Praise
509,Great animation!,Praise
510,This made me emotional..,Emotional
511,DM for promotions. haha,Spam
512,Loved this! friend,Praise
513,Can you make more like this? 😭,Question/Suggestion
514,Follow me for followers! dude,Spam
515,Fantastic quality! 😂,Praise
516,Can you make more like this? lol,Question/Suggestion
517,This is a warning. 😭,Threat
518,I can relate to this. ❤️,Emotional
519,You have no talent.!!,Hate
520,Stop or face consequences. 😭,Threat
521,Proud of your progress! now,Support
522,This gave me chills. bro,Emotional
523,I will report this. please,Threat
524,Amazing work! dude,Praise
525,Worst thing ever. bro,Hate
526,Keep going! friend,Support
527,We believe in you! bro,Support
528,I can relate to this. omg,Emotional
529,Awful content. haha,Hate
530,You’ve got this!!!,Support
531,Loved this!,Praise
532,Great animation! friend,Praise
533,Join my group now!!!,Spam
534,Loved this! please,Praise
535,This sucks. haha,Hate
536,I will report this.,Threat
537,This looks stunning! 😂,Praise
538,Great animation! dude,Praise
539,The audio could be better.,Constructive Criticism
540,The audio could be better. now,Constructive Criticism
541,Can you upload a tutorial? dude,Question/Suggestion
542,This sucks. now,Hate
543,The audio could be better. dude,Constructive Criticism
544,You can do it!!!,Support
545,Great attempt but lacks clarity. haha,Constructive Criticism
546,Nice idea but pacing feels slow. 😂,Constructive Criticism
547,DM for promotions. now,Spam
548,I can relate to this. 😭,Emotional
549,Follow me for followers!,Spam
550,Amazing work!.,Praise
551,Visuals are nice but transitions feel off. dude,Constructive Criticism
552,Beautiful execution! thanks,Praise
553,This made me emotional..,Emotional
554,Great animation!.,Praise
555,This made me emotional. lol,Emotional
556,Great attempt but lacks clarity. bro,Constructive Criticism
557,Great attempt but lacks clarity. bro,Constructive Criticism
558,Great attempt but lacks clarity.!!,Constructive Criticism
559,I will report this. dude,Threat
560,I’ll get your page banned. 😭,Threat
561,What tool did you use? 😂,Question/Suggestion
562,Follow me for followers! asap,Spam
563,Loved this! asap,Praise
564,I’ll get your page banned. haha,Threat
565,Great animation!!!,Praise
566,Good effort but needs improvement. please,Constructive Criticism
567,Can you make more like this? haha,Question/Suggestion
568,This made me emotional. 😂,Emotional
569,This is terrible.!!,Hate
570,Follow me for followers! tbh,Spam
571,What tool did you use? lol,Question/Suggestion
572,Will there be a part 2? 😭,Question/Suggestion
573,This is terrible. tbh,Hate
574,Great attempt but lacks clarity..,Constructive Criticism
575,This is a warning. please,Threat
576,This gave me chills. friend,Emotional
577,I can relate to this. asap,Emotional
578,This is terrible. now,Hate
579,This gave me chills. haha,Emotional
580,Keep going!.,Support
581,You’ve got this! thanks,Support
582,This sucks. please,Hate
583,Check my page for giveaways! thanks,Spam
584,Good effort but needs improvement.,Constructive Criticism
585,Stay strong! dude,Support
586,Stay strong! asap,Support
587,You have no talent. ❤️,Hate
588,Stay strong! haha,Support
589,Click here for prizes! bro,Spam
590,Check my page for giveaways! dude,Spam
591,You can do it! thanks,Support
592,Awful content. ❤️,Hate
593,Check my page for giveaways! thanks,Spam
594,This gave me chills. now,Emotional
595,Follow me for followers! dude,Spam
596,I’ll get your page banned. 😂,Threat
597,Great animation! 😂,Praise
598,Join my group now! asap,Spam
599,I will report this. tbh,Threat
600,This sucks. 😂,Hate
601,Beautiful execution! dude,Praise
602,This gave me chills. 😭,Emotional
603,Great attempt but lacks clarity. haha,Constructive Criticism
604,Good effort but needs improvement. 😂,Constructive Criticism
605,Join my group now! friend,Spam
606,I’ll get your page banned.,Threat
607,Beautiful execution! ❤️,Praise
608,Great attempt but lacks clarity. tbh,Constructive Criticism
609,Worst thing ever.,Hate
610,Visuals are nice but transitions feel off. please,Constructive Criticism
611,Can you make more like this? 😂,Question/Suggestion
612,Great attempt but lacks clarity. asap,Constructive Criticism
613,This is a warning. omg,Threat
614,Worst thing ever.!!,Hate
615,You have no talent. tbh,Hate
616,This touched my heart. thanks,Emotional
617,I will report this. ❤️,Threat
618,This gave me chills. ❤️,Emotional
619,I will report this. 😭,Threat
620,This gave me chills.!!,Emotional
621,I will report this. friend,Threat
622,Can you try a darker theme? bro,Question/Suggestion
623,I will report this. thanks,Threat
624,Will there be a part 2? lol,Question/Suggestion
625,This gave me chills. now,Emotional
626,I felt nostalgic watching this. bro,Emotional
627,Nice idea but pacing feels slow. friend,Constructive Criticism
628,Proud of your progress! 😂,Support
629,Join my group now! lol,Spam
630,You have no talent. dude,Hate
631,What tool did you use? bro,Question/Suggestion
632,The audio could be better. thanks,Constructive Criticism
633,You have no talent. ❤️,Hate
634,DM for promotions. ❤️,Spam
635,This made me emotional. tbh,Emotional
636,Will there be a part 2? dude,Question/Suggestion
637,Join my group now! please,Spam
638,Stop or face consequences. ❤️,Threat
639,Worst thing ever. omg,Hate
640,Fantastic quality! bro,Praise
641,Great attempt but lacks clarity. lol,Constructive Criticism
642,Visuals are nice but transitions feel off.,Constructive Criticism
643,Check my page for giveaways! 😂,Spam
644,This gave me chills..,Emotional
645,Can you try a darker theme? 😂,Question/Suggestion
646,I’ll take action. friend,Threat
647,Click here for prizes! lol,Spam
648,Follow me for followers! ❤️,Spam
649,Beautiful execution! asap,Praise
650,Check my page for giveaways! bro,Spam
651,Will there be a part 2? dude,Question/Suggestion
652,I felt nostalgic watching this. ❤️,Emotional
653,Visuals are nice but transitions feel off.,Constructive Criticism
654,Great animation!!!,Praise
655,Loved this! friend,Praise
656,You have no talent. bro,Hate
657,I felt nostalgic watching this. friend,Emotional
658,This gave me chills. ❤️,Emotional
659,Can you try a darker theme? please,Question/Suggestion
660,The audio could be better. now,Constructive Criticism
661,The audio could be better. ❤️,Constructive Criticism
662,Follow me for followers! 😭,Spam
663,This looks stunning! dude,Praise
664,Great attempt but lacks clarity. asap,Constructive Criticism
665,This looks stunning! dude,Praise
666,You can do it! asap,Support
667,This made me emotional. thanks,Emotional
668,Amazing work! lol,Praise
669,This made me emotional.!!,Emotional
670,You have no talent. thanks,Hate
671,Can you make more like this? bro,Question/Suggestion
672,Stop or face consequences. omg,Threat
673,Can you upload a tutorial? 😭,Question/Suggestion
674,This is a warning.,Threat
675,The audio could be better. ❤️,Constructive Criticism
676,Visuals are nice but transitions feel off. dude,Constructive Criticism
677,Fantastic quality! asap,Praise
678,This looks stunning! friend,Praise
679,This touched my heart. asap,Emotional
680,You have no talent. bro,Hate
681,This touched my heart. dude,Emotional
682,This is terrible. 😭,Hate
683,Keep going! lol,Support
684,This gave me chills. dude,Emotional
685,Check my page for giveaways!.,Spam
686,I will report this. thanks,Threat
687,Fantastic quality! bro,Praise
688,What tool did you use? bro,Question/Suggestion
689,You have no talent. dude,Hate
690,Click here for prizes! haha,Spam
691,Fantastic quality! please,Praise
692,This touched my heart..,Emotional
693,Will there be a part 2? haha,Question/Suggestion
694,You can do it! thanks,Support
695,Visuals are nice but transitions feel off. dude,Constructive Criticism
696,Great animation! thanks,Praise
697,Check my page for giveaways! asap,Spam
698,Loved this! dude,Praise
699,Check my page for giveaways! please,Spam
700,Click here for prizes! omg,Spam
701,This is terrible. omg,Hate
702,You have no talent. tbh,Hate
703,You have no talent. thanks,Hate
704,This looks stunning! bro,Praise
705,Loved this! now,Praise
706,I’ll take action. 😂,Threat
707,Visuals are nice but transitions feel off. thanks,Constructive Criticism
708,Good effort but needs improvement. omg,Constructive Criticism
709,I will report this. friend,Threat
710,This is a warning. ❤️,Threat
711,Nice idea but pacing feels slow..,Constructive Criticism
712,Can you try a darker theme? now,Question/Suggestion
713,Awful content. dude,Hate
714,Can you try a darker theme? now,Question/Suggestion
715,Keep going! friend,Support
716,Beautiful execution! tbh,Praise
717,This is terrible. omg,Hate
718,You can do it!!!,Support
719,I felt nostalgic watching this. bro,Emotional
720,Stay strong!!!,Support
721,Can you make more like this? asap,Question/Suggestion
722,This gave me chills. thanks,Emotional
723,Fantastic quality! bro,Praise
724,This sucks. 😭,Hate
725,Follow me for followers! haha,Spam
726,You can do it! asap,Support
727,Proud of your progress! omg,Support
728,Loved this! lol,Praise
729,We believe in you! lol,Support
730,This sucks.,Hate
731,Join my group now! tbh,Spam
732,Stop or face consequences. please,Threat
733,The audio could be better. now,Constructive Criticism
734,We believe in you! tbh,Support
735,This touched my heart. omg,Emotional
736,Awful content.!!,Hate
737,Good effort but needs improvement.!!,Constructive Criticism
738,This sucks. lol,Hate
739,Will there be a part 2? please,Question/Suggestion
740,We believe in you! tbh,Support
741,Follow me for followers! 😭,Spam
742,Keep going! please,Support
743,I’ll get your page banned. 😭,Threat
744,Stay strong! please,Support
745,You have no talent..,Hate
746,You have no talent. omg,Hate
747,Visuals are nice but transitions feel off. bro,Constructive Criticism
748,Visuals are nice but transitions feel off. omg,Constructive Criticism
749,What tool did you use? ❤️,Question/Suggestion
750,Loved this! please,Praise
751,The audio could be better..,Constructive Criticism
752,Great animation! thanks,Praise
753,This is terrible. bro,Hate
754,Amazing work! dude,Praise
755,Will there be a part 2? lol,Question/Suggestion
756,Can you make more like this?,Question/Suggestion
757,This is terrible. thanks,Hate
758,Keep going! haha,Support
759,Visuals are nice but transitions feel off. tbh,Constructive Criticism
760,We believe in you! tbh,Support
761,Nice idea but pacing feels slow.!!,Constructive Criticism
762,Great animation! lol,Praise
763,I will report this.,Threat
764,This sucks. please,Hate
765,This looks stunning! please,Praise
766,I’ll get your page banned. now,Threat
767,Follow me for followers! thanks,Spam
